id,stop_id
250mN300075E444725,['de:09472:23348:0:1']
250mN300100E444725,['de:09472:23348:0:2']
250mN300125E444275,"['de:09472:23341:0:1', 'de:09472:23341:0:2']"
250mN300150E444750,"['de:09472:23352:0:1', 'de:09472:23352:0:2']"
250mN300250E444850,"['de:09475:9107:0:1', 'de:09475:9107:0:2']"
250mN300325E444900,"['de:09475:9106:0:1', 'de:09475:9106:0:2']"
250mN300350E445325,"['de:09475:11686:0:1', 'de:09475:11686:0:2']"
250mN300400E445125,"['de:09475:9104:0:1', 'de:09475:9104:0:2']"
250mN300400E445400,"['de:09475:9085:0:1', 'de:09475:9085:0:2']"
250mN300425E445075,"['de:09475:9105:0:1', 'de:09475:9105:0:2']"
250mN300425E445100,"['de:09475:9082:0:1', 'de:09475:9082:0:2']"
250mN300500E445025,"['de:09475:9103:0:1', 'de:09475:9103:0:2']"
250mN300500E445875,"['de:09479:2383:0:1', 'de:09479:2383:0:2']"
250mN300550E445000,['de:09475:9120:0:1']
250mN300550E445250,"['de:09475:9084:0:1', 'de:09475:9084:0:2']"
250mN300575E443875,"['de:09477:3683:0:1', 'de:09477:3683:0:2']"
250mN300575E445000,"['de:09475:9102:0:1', 'de:09475:9102:0:2']"
250mN300575E445925,['de:09479:83558:0:2']
250mN300575E445950,['de:09479:2382:0:1']
250mN300575E445975,['de:09479:2382:0:2']
250mN300575E446000,['de:09479:83557:0:1']
250mN300600E443800,"['de:09477:5526:0:1', 'de:09477:5526:0:2']"
250mN300600E444275,"['de:09475:80741_G', 'de:09475:80741:1:1', 'de:09475:80741:1:3', 'de:09475:80741', 'de:09475:80741:90']"
250mN300600E445000,"['de:09475:9101:0:1', 'de:09475:9101:0:2']"
250mN300600E446000,"['de:09479:11685:0:1', 'de:09479:11685:0:2']"
250mN300600E446025,"['de:09479:9645:0:1', 'de:09479:9645:0:2']"
250mN300625E443775,"['de:09477:3682:0:1', 'de:09477:3682:0:2']"
250mN300625E444900,"['de:09475:11829:0:1', 'de:09475:11829:0:2']"
250mN300625E445300,"['de:09475:9083:0:1', 'de:09475:9083:0:2']"
250mN300625E445975,['de:09479:83556:0:1']
250mN300625E446000,['de:09479:9642:0:1']
250mN300625E446025,['de:09479:9642:0:2']
250mN300650E446000,['de:09479:83559:0:1']
250mN300650E446050,"['de:09479:9039:0:1', 'de:09479:9039:0:2']"
250mN300675E445075,['de:09475:9078:0:2']
250mN300675E445975,"['de:09479:9644:0:1', 'de:09479:9644:0:2', 'de:09479:9647:0:1', 'de:09479:9647:0:2']"
250mN300700E443625,"['de:09477:3681:0:1', 'de:09477:3681:0:2']"
250mN300700E445075,['de:09475:9078:0:1']
250mN300700E445225,"['de:09475:9079:0:1', 'de:09475:9079:0:2']"
250mN300700E445250,"['de:09475:9080:0:1', 'de:09475:9080:0:2']"
250mN300725E443975,"['de:09475:12987:0:1', 'de:09475:12987:0:2']"
250mN300725E446200,"['de:09479:2381:0:1', 'de:09479:2381:0:2']"
250mN300750E443750,"['de:09477:3684:0:1', 'de:09477:3684:0:2']"
250mN300750E443775,"['de:09477:3779:0:1', 'de:09477:3779:0:2']"
250mN300750E446275,['de:09479:9643:92']
250mN300775E443750,"['de:09477:3685:0:2', 'de:09477:3685:0:2_G']"
250mN300775E443850,"['de:09475:15218:0:1', 'de:09475:15218:0:2']"
250mN300775E446275,"['de:09479:2380:0:1', 'de:09479:2380:0:2', 'de:09479:9643:1:1', 'de:09479:9643:2:2', 'de:09479:9643:30:1', 'de:09479:9643:30:2', 'de:09479:9643:90', 'de:09479:9643:91', 'de:09479:9643:93', 'de:09479:9643', '000010098705', '000010098706']"
250mN300800E443750,"['de:09477:3685:0:1', 'de:09477:3685:0:1_G']"
250mN300825E443750,"['de:09477:3686:0:1', 'de:09477:3686:0:2', 'de:09477:3686:0:1_G', 'de:09477:3686:0:2_G']"
250mN300850E444975,"['de:09475:9077:0:1', 'de:09475:9077:0:2']"
250mN300875E443650,"['de:09477:3674:0:1', 'de:09477:3674:0:2']"
250mN300875E444925,"['de:09475:9076:0:1', 'de:09475:9076:0:2']"
250mN300900E444125,"['de:09475:12964:0:1', 'de:09475:12964:0:2']"
250mN300900E444150,"['de:09475:12936:0:1', 'de:09475:12936:0:2']"
250mN300900E446200,"['de:09479:15742:0:1', 'de:09479:15742:0:2']"
250mN300900E446250,"['de:09479:15741:0:1', 'de:09479:15741:0:2']"
250mN300925E443675,['de:09477:3825:0:1']
250mN300925E443700,"['de:09477:3687:0:1', 'de:09477:3687:0:2', 'de:09477:3687:0:1_G', 'de:09477:3687:0:2_G']"
250mN300925E444250,"['de:09475:12968:0:1', 'de:09475:12968:0:2']"
250mN300925E445975,"['de:09479:9641:0:1', 'de:09479:9641:0:2']"
250mN300950E444875,"['de:09475:9075:0:1', 'de:09475:9075:0:2']"
250mN300975E444325,"['de:09475:15217:0:1', 'de:09475:15217:0:2']"
250mN300975E445275,"['de:09475:9081:0:1', 'de:09475:9081:0:2']"
250mN301000E444875,"['de:09475:9060:1:1', 'de:09475:9060:2:2', 'de:09475:9060:2:3', 'de:09475:9060:30:3', 'de:09475:9060:30:4', 'de:09475:9060:70', 'de:09475:9060:81', 'de:09475:9060:82', 'de:09475:9060:90', 'de:09475:9119:0:1', 'de:09475:9119:0:2', 'de:09475:9060_G', 'de:09475:9060', '000010100708', '000010100709']"
250mN301000E444950,"['de:09475:9061:0:1', 'de:09475:9061:0:2']"
250mN301000E445150,"['de:09475:9121:0:1', 'de:09475:9121:0:2']"
250mN301025E444400,"['de:09475:15216:0:1', 'de:09475:15216:0:2']"
250mN301025E444775,"['de:09475:12941:0:1', 'de:09475:12941:0:2']"
250mN301025E445025,"['de:09475:9090:0:1', 'de:09475:9090:0:2']"
250mN301025E446125,"['de:09479:15743:0:1', 'de:09479:15743:0:2']"
250mN301050E443650,"['de:09477:3688:0:1', 'de:09477:3688:0:2']"
250mN301050E444600,"['de:09475:9058:0:1', 'de:09475:9058:0:2']"
250mN301050E444675,"['de:09475:9059:0:1', 'de:09475:9059:0:2']"
250mN301050E444725,"['de:09475:12944:0:1', 'de:09475:12944:0:2']"
250mN301050E446000,"['de:09479:9640:0:1', 'de:09479:9640:0:2']"
250mN301075E443475,"['de:09477:3689:0:1', 'de:09477:3689:0:2']"
250mN301075E443875,"['de:09477:3705:0:1', 'de:09477:3705:0:2', 'de:09477:3705:0:1_G', 'de:09477:3705:0:2_G']"
250mN301075E444900,"['de:09475:9073:0:1_G', 'de:09475:9073:0:1', 'de:09475:9073:0:2', 'de:09475:9073:0:2_G']"
250mN301075E445275,['de:09475:80470:0:1']
250mN301100E443575,['de:09477:6504:0:1']
250mN301100E444600,"['de:09475:80742:1:1', 'de:09475:80742', 'de:09475:80742:90']"
250mN301100E444925,['de:09475:8840:0:1']
250mN301125E443450,['de:09477:3691:0:1']
250mN301125E443475,['de:09477:3691:0:2']
